Category,Company_Name,Job_Title,Job_Role,Job_Mode,City,Country,Salary,Posted_on,Job_url,MAYA,3DS,BLENDER,RPG,HOUDINI,ZBRUSH,SUBSTANCE,JAVA,JAVASCRIPT,PYTHON,C++,C#,UNITY,UNREAL,CRYENGINE,GODOT,SQL,MONGODB,NOSQL,S3,DYNAMODB,GAMEPLAY,PIPELINE,ARCHITECTURE,VR,UI,3D,2D,VFX,MODELLING,MULTIPLAYER,GRAPHIC,AI,MATH,GIT,PHYSICS,ALGORITHM,DEVOPS,PHOTOSHOP,XBOX,PLAYSTATION,PC,MOBILE,WINDOWS,MACOS,LINUX
Video Games,Coffee Stain Publishing,Senior Programmer,Programmer,On-Site,Malmo,Sweden,Negotiable,7th September 2022,https://aswift.com/jobs/senior-programmer-malmo-se-2/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Video Games,Splash Damage,Design Director,Director,On-Site,Bromley,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/design-director-bromley-uk/,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Ballistic Moon,Lighting Artist,Artist,Remote,Farnborough,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/lighting-artist-remote-options-farnborough-uk/,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Splash Damage,Lead Technical Designer,Designer,Hybrid,Bromley,United Kingdom,Negotiable,7th September 2022,https://aswift.com/jobs/lead-technical-designer-hybrid-options-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Nitro Games,Senior Game Designer,Designer,Remote,Helsinki,Finland,Negotiable,7th September 2022,https://aswift.com/jobs/senior-game-designer-remote-options-helsinki-fi/,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Video Games,Sumo Digital,Graphics Programmer,Programmer,On-Site,Nottingham,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/graphics-programmer-nottingham-uk-2/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Playground Games,Gameplay Designer,Designer,On-Site,Leamington Spa,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/gameplay-designer-leamington-spa-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Metricminds,Animator,Animator,On-Site,Unidefined,Frankfurt,Negotiable,6th September 2022,https://aswift.com/jobs/animator-frankfurt-de/,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Orbital,Senior Animator,Animator,On-Site,Farnborough,United Kingdom,Negotiable,6th September 2022,https://aswift.com/jobs/senior-animator-farnborough-uk-2/,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Video Games,CI Games,Lead Gameplay Programmer,Programmer,Remote,Warsaw,Poland,Negotiable,6th September 2022,https://aswift.com/jobs/lead-gameplay-programmer-fully-remote-warsaw-pl/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Just Add Water,C++ Programmer,Programmer,On-Site,Leeds,United Kingdom,Negotiable,5th September 2022,https://aswift.com/jobs/c-programmer-leeds-uk-2/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Video Games,Nitro Games,Senior Producer,Producer,Hybrid,Helsinki,Finland,"£45,000-£65,000",5th September 2022,https://aswift.com/jobs/senior-producer-hybrid-options-helsinki-fi/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Video Games,Elevation,Technical Animator,Animator,On-Site,Farnborough,United Kingdom,Negotiable,5th September 2022,https://aswift.com/jobs/technical-animator-remote-options-farnborough-uk/,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Toadman Interactive,VFX Artist,Artist,On-Site,Stockholm,Sweden,Negotiable,2nd September 2022,https://aswift.com/jobs/vfx-artist-stockholm-se-2/,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Blackbird Interactive,Technical Director,Director,Remote,Vancouver,Canada,Negotiable,2nd September 2022,https://aswift.com/jobs/technical-director-remote-options-vancouver-ca/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Starbreeze Studios,Senior Rendering Programmer,Programmer,Remote,Stockholm,Sweden,Negotiable,2nd September 2022,https://aswift.com/jobs/senior-rendering-programmer-remote-stockholm-se/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Stainless Games,2D UI Artist,Artist,On-Site,Isle of Wight,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/2d-ui-artist-isle-of-wight-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Video Games,Free Radical Design,Environment Artist,Artist,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/environment-artist-nottingham-uk/,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Video Games,Free Radical Design,Graphics Programmer,Programmer,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/graphics-programmer-nottingham-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Video Games,Free Radical Design,Gameplay Programmer,Programmer,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/gameplay-programmer-nottingham-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Video Games,Free Radical Design,VFX Artist,Artist,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/vfx-artist-nottingham-uk/,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Video Games,Free Radical Design,"Network Programmer | Nottingham, UK",Programmer,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/network-programmer-nottingham-uk-2/,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Video Games,Toadman Interactive,Technical Animator,Animator,On-Site,Stockholm,Sweden,Negotiable,1st September 2022,https://aswift.com/jobs/technical-animator-stockholm-se-3/,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Ballistic Moon,Lead Artist,Artist,On-Site,Farnborough,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-artist-farnborough-uk-2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Ballistic Moon,Art Director,Director,On-Site,Farnborough,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/art-director-farnborough-uk-3/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,CI Games,Senior Creature Animator,Animator,Remote,Warsaw,Poland,Negotiable,1st September 2022,https://aswift.com/jobs/senior-creature-animator-remote-warsaw-pl/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Splash Damage,Audio Programmer,Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/audio-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Splash Damage,Lead Gameplay Programmer,Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-gameplay-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Video Games,Splash Damage,Lead Engineer or Technical Lead,Engineer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-engineer-or-technical-lead-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Video Games,Splash Damage,Lead Build and Automation Developer,Developer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-build-and-automation-developer-bromley-uk/,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Video Games,Splash Damage,Lead Backend Programmer,Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-backend-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Video Games,Free Radical Design,Tools Programmer,Programmer,On-Site,Nottingham,United Kingdom,Negotiable,26th August 2022,https://aswift.com/jobs/tools-programmer-nottingham-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Video Games,CI Games,Senior Systems Designer,Designer,Remote,Warszawa,Poland,Negotiable,26th August 2022,https://aswift.com/jobs/senior-systems-designer-remote-options-warsaw-pl/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,CI Games,Lead System Designer,Designer,Remote,Warsaw,Poland,Negotiable,26th August 2022,https://aswift.com/jobs/lead-system-designer-remote-options-warsaw-pl/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Stainless Games,Lead Artist,Artist,On-Site,Newport,United Kingdom,Negotiable,26th August 2022,https://aswift.com/jobs/lead-artist-isle-of-wight-uk/,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Video Games,Unbroken Studios,Senior Software Engineer,Engineer,Remote,Los Angeles,United States,Negotiable,26th August 2022,https://aswift.com/jobs/senior-software-engineer-remote-los-angeles-us/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Video Games,Coatsink,Senior Producer,Producer,Remote,Sunderland,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/senior-producer-remote-sunderland-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Splash Damage,Lead or Principal Graphics Programmer,Programmer,On-Site,Bromley,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/lead-or-principal-graphics-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Video Games,Splash Damage,Tools Programmer,Programmer,On-Site,Bromley,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/tools-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,CI Games,Senior VFX Artist,Artist,Remote,Warsaw,Poland,Negotiable,25th August 2022,https://aswift.com/jobs/senior-vfx-artist-remote-options-warsaw-pl/,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Deep Silver Dambuster,Junior Character Concept Artist,Artist,On-Site,Nottingham,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/junior-character-concept-artist-nottingham-uk/,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,CI Games,Senior Animator,Animator,On-Site,Warsaw,Poland,Negotiable,24th August 2022,https://aswift.com/jobs/senior-animator-remote-warsaw-pl/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Gate21,Lead Character Artist,Artist,On-Site,Sarajevo,Bosnia and Herzegovina,Negotiable,24th August 2022,https://aswift.com/jobs/lead-character-artist-remote-options-sarajevo-ba/,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Gate21,Character Artist,Artist,On-Site,Sarajevo,Bosnia and Herzegovina,Negotiable,24th August 2022,https://aswift.com/jobs/character-artist-remote-options-sarajevo-ba/,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Virtex VR,Technical Artist,Artist,On-Site,London,United Kingdom,Negotiable,24th August 2022,https://aswift.com/jobs/technical-artist-remote-options-london-uk-2/,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Warp Digital,Producer,Producer,Remote,London,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/producer-remote-london-uk-2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,IO Interactive,Senior Engine Programmer,Programmer,On-Site,Copenhagen,Denmark,Negotiable,22nd August 2022,https://aswift.com/jobs/senior-engine-programmer-copenhagen-dk/,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Video Games,IO Interactive,Engine Programmer,Programmer,On-Site,Copenhagen,Denmark,Negotiable,22nd August 2022,https://aswift.com/jobs/engine-programmer-copenhagen-dk/,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Video Games,Build a Rocket Boy,Senior Gameplay Programmer,Programmer,Remote,Edinburgh,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/senior-gameplay-programmer-remote-options-edinburgh-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Video Games,AAA Studio,Character Artist,Artist,On-Site,Midlands,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/character-artist-18-to-24-month-contract-midlands-uk/,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Video Games,Rebellion,Senior Producer,Producer,Hybrid,Warwick,United Kingdom,Negotiable,19th August 2022,https://aswift.com/jobs/senior-producer-hybrid-warwick-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Plaion & Deep Silver,Spanish Community Manager,Manager,Remote,Reading,United Kingdom,Negotiable,18th August 2022,https://aswift.com/jobs/spanish-community-manager-munich-de/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,AAA studio,Character Artist,Artist,On-Site,Madrid,Spain,Negotiable,18th August 2022,https://aswift.com/jobs/character-artist-madrid-es/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Video Games,Smilegate,Senior Technical Animator,Animator,On-Site,Barcelona,Spain,Negotiable,16th August 2022,https://aswift.com/jobs/senior-technical-animator-barcelona-es/,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Klang Games,Houdini Technical Artist,Artist,On-Site,Berlin,Germany,Negotiable,16th August 2022,https://aswift.com/jobs/houdini-technical-artist-berlin-de/,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Offworld Industries,Head of Game Technology,Head,Hybrid,Burnaby,Canada,Negotiable,16th August 2022,https://aswift.com/jobs/head-of-game-technology-hybrid-options-burnaby-ca/,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Build A Rocket Boy,Lead Environment Artist,Artist,Remote,Edinburgh,United Kingdom,Negotiable,16th August 2022,https://aswift.com/jobs/lead-environment-artist-remote-options-edinburgh-uk-2/,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Deep Silver FISHLABS,Build Engineer,Engineer,On-Site,Hamburg,Germany,Negotiable,16th August 2022,https://aswift.com/jobs/build-engineer-hamburg-de/,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Build A Rocket Boy,Lead Concept Artist,Artist,Remote,Edinburgh,United Kingdom,Negotiable,16th August 2022,https://aswift.com/jobs/lead-concept-artist-remote-options-edinburgh-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Yakuto,Game Developer,Developer,On-Site,London,United Kingdom,Negotiable,16th August 2022,https://aswift.com/jobs/game-developer-london-uk-2/,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Video Games,22cans,Android Game Programmer,Programmer,On-Site,Guildford,United Kingdom,Negotiable,16th August 2022,https://aswift.com/jobs/android-game-programmer-guildford-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Video Games,Lakshya Digital,Senior Outsourcing Character Artist,Artist,Remote,Redmond,United States,Negotiable,16th August 2022,https://aswift.com/jobs/senior-outsourcing-character-artist-remote-options-redmond-us/,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Video Games,Paper Seven,3D Generalist,Generalist,On-Site,Brighton,United Kingdom,Negotiable,16th August 2022,https://aswift.com/jobs/3d-generalist-brighton-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Video Games,Rebellion,Art Manager,Manager,On-Site,Oxford,United Kingdom,Negotiable,15th August 2022,https://aswift.com/jobs/art-manager-oxford-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Games,Rebellion,Senior Programmer,Programmer,On-Site,West Yorkshire,United Kingdom,Negotiable,15th August 2022,https://aswift.com/jobs/senior-programmer-west-yorkshire-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
