,Category,Company_Name,Job_Title,Job_Mode,City,Country,Salary,Posted_on,Job_url,JAVA,JAVASCRIPT,PYTHON,C++,C#,DESIGNER,AUTOMATION,ARTIST,ANIMATION,TESTING,LEADERSHIP,LIGHTING,MAYA,3DS,BLENDER,UNITY,RPG,HOUDINI,ZBRUSH,SUBSTANCE,SQL,MONGODB,NOSQL,S3,DYNAMODB,CASCADE,NIAGRA,SHURIKEN,POPCORNFX,FUMEFX,UE4,UNREAL,CRYENGINE,AAA,GODOT,XBOX,PLAYSTATION,PC,MOBILE,WINDOWS,MACOS,LINUX,GAMEPLAY,PIPELINE,ARCHITECTURE,VR,UI,3D,2D,PASSION,METAGAME,VFX,MODELLING,MULTIPLAYER,GRAPHIC,AI,MATH,GIT,PHYSICS,ALGORITHM,DEVOPS,PHOTOSHOP,TRELLO,CONFLUENCE,BASECAMP,RENDERDOC,PIX,RAZOR
14,Video Games,Splash Damage,Senior Producer,Remote,Bromley,United Kingdom,Negotiable,2nd September 2022,https://aswift.com/jobs/senior-producer-remote-options-bromley-uk/,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Video Games,Blackbird Interactive,Technical Director,Remote,Vancouver,Canada,Negotiable,2nd September 2022,https://aswift.com/jobs/technical-director-remote-options-vancouver-ca/,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Video Games,Starbreeze Studios,Senior Rendering Programmer,Remote,Stockholm,Sweden,Negotiable,2nd September 2022,https://aswift.com/jobs/senior-rendering-programmer-remote-stockholm-se/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Video Games,Stainless Games,2D UI Artist,On-Site,Isle of Wight,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/2d-ui-artist-isle-of-wight-uk/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Video Games,Free Radical Design,Environment Artist,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/environment-artist-nottingham-uk/,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Video Games,Free Radical Design,Graphics Programmer,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/graphics-programmer-nottingham-uk/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
20,Video Games,Free Radical Design,Gameplay Programmer,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/gameplay-programmer-nottingham-uk/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
21,Video Games,Free Radical Design,VFX Artist,On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/vfx-artist-nottingham-uk/,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Video Games,Free Radical Design,"Network Programmer | Nottingham, UK",On-Site,Nottingham,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/network-programmer-nottingham-uk-2/,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Video Games,Toadman Interactive,Technical Animator,On-Site,Stockholm,Sweden,Negotiable,1st September 2022,https://aswift.com/jobs/technical-animator-stockholm-se-3/,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Video Games,Ballistic Moon,Lead Artist,On-Site,Farnborough,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-artist-farnborough-uk-2/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Video Games,Ballistic Moon,Art Director,On-Site,Farnborough,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/art-director-farnborough-uk-3/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Video Games,CI Games,Senior Creature Animator,Remote,Warsaw,Poland,Negotiable,1st September 2022,https://aswift.com/jobs/senior-creature-animator-remote-warsaw-pl/,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Video Games,Splash Damage,Audio Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/audio-programmer-bromley-uk/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Video Games,Splash Damage,Lead Gameplay Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-gameplay-programmer-bromley-uk/,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Video Games,Splash Damage,Lead Engineer or Technical Lead,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-engineer-or-technical-lead-bromley-uk/,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Video Games,Splash Damage,Lead Build and Automation Developer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-build-and-automation-developer-bromley-uk/,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Video Games,Splash Damage,Lead Backend Programmer,On-Site,Bromley,United Kingdom,Negotiable,1st September 2022,https://aswift.com/jobs/lead-backend-programmer-bromley-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Video Games,Free Radical Design,Tools Programmer,On-Site,Nottingham,United Kingdom,Negotiable,26th August 2022,https://aswift.com/jobs/tools-programmer-nottingham-uk/,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Video Games,CI Games,Senior Systems Designer,Remote,Warszawa,Poland,Negotiable,26th August 2022,https://aswift.com/jobs/senior-systems-designer-remote-options-warsaw-pl/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Video Games,CI Games,Lead System Designer,Remote,Warsaw,Poland,Negotiable,26th August 2022,https://aswift.com/jobs/lead-system-designer-remote-options-warsaw-pl/,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Video Games,Stainless Games,Lead Artist,On-Site,Newport,United Kingdom,Negotiable,26th August 2022,https://aswift.com/jobs/lead-artist-isle-of-wight-uk/,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Video Games,Smilegate,HR Director,Hybrid,Barcelona,Spain,Negotiable,26th August 2022,https://aswift.com/jobs/hr-director-hybrid-barcelona-es/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Video Games,Unbroken Studios,Senior Software Engineer,Remote,Los Angeles,United States,Negotiable,26th August 2022,https://aswift.com/jobs/senior-software-engineer-remote-los-angeles-us/,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Video Games,Coatsink,Senior Producer,Remote,Sunderland,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/senior-producer-remote-sunderland-uk/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Video Games,Splash Damage,Lead or Principal Graphics Programmer,On-Site,Bromley,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/lead-or-principal-graphics-programmer-bromley-uk/,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40,Video Games,Splash Damage,Tools Programmer,On-Site,Bromley,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/tools-programmer-bromley-uk/,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Video Games,CI Games,Senior VFX Artist,Remote,Warsaw,Poland,Negotiable,25th August 2022,https://aswift.com/jobs/senior-vfx-artist-remote-options-warsaw-pl/,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Recruitment,Aardvark Swift,Talent Sourcer,On-Site,Rotherham,United Kingdom,"£19,100-£23,000",25th August 2022,https://aswift.com/jobs/talent-sourcer-rotherham-uk-2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,Video Games,Deep Silver Dambuster,Junior Character Concept Artist,On-Site,Nottingham,United Kingdom,Negotiable,25th August 2022,https://aswift.com/jobs/junior-character-concept-artist-nottingham-uk/,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Video Games,PortalOne,Outsourcing Project Manager,Remote,Oslo,Norway,Negotiable,24th August 2022,https://aswift.com/jobs/outsourcing-project-manager-remote-options-oslo-no/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Video Games,CI Games,Senior Animator,On-Site,Warsaw,Poland,Negotiable,24th August 2022,https://aswift.com/jobs/senior-animator-remote-warsaw-pl/,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Video Games,Gate21,Lead Character Artist,On-Site,Sarajevo,Bosnia and Herzegovina,Negotiable,24th August 2022,https://aswift.com/jobs/lead-character-artist-remote-options-sarajevo-ba/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Video Games,Gate21,Character Artist,On-Site,Sarajevo,Bosnia and Herzegovina,Negotiable,24th August 2022,https://aswift.com/jobs/character-artist-remote-options-sarajevo-ba/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Video Games,Virtex VR,Technical Artist,On-Site,London,United Kingdom,Negotiable,24th August 2022,https://aswift.com/jobs/technical-artist-remote-options-london-uk-2/,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Video Games,Uplift Games,Senior Consumer Products Manager,Remote,Austin,United States,Negotiable,22nd August 2022,https://aswift.com/jobs/senior-consumer-products-manager-remote-austin-us/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Video Games,Warp Digital,Producer,Remote,London,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/producer-remote-london-uk-2/,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Video Games,IO Interactive,Senior Engine Programmer,On-Site,Copenhagen,Denmark,Negotiable,22nd August 2022,https://aswift.com/jobs/senior-engine-programmer-copenhagen-dk/,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,Video Games,IO Interactive,Engine Programmer,On-Site,Copenhagen,Denmark,Negotiable,22nd August 2022,https://aswift.com/jobs/engine-programmer-copenhagen-dk/,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,Video Games,Build a Rocket Boy,Senior Gameplay Programmer,Remote,Edinburgh,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/senior-gameplay-programmer-remote-options-edinburgh-uk/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,Video Games,AAA Studio,Character Artist,On-Site,Midlands,United Kingdom,Negotiable,22nd August 2022,https://aswift.com/jobs/character-artist-18-to-24-month-contract-midlands-uk/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,Video Games,Rebellion,Senior Producer,Hybrid,Warwick,United Kingdom,Negotiable,19th August 2022,https://aswift.com/jobs/senior-producer-hybrid-warwick-uk/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Video Games,Plaion & Deep Silver,Spanish Community Manager,Remote,Reading,United Kingdom,Negotiable,18th August 2022,https://aswift.com/jobs/spanish-community-manager-munich-de/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Video Games,Plaion & Deep Silver,German Community Manager,Remote,Munich,Germany,Negotiable,18th August 2022,https://aswift.com/jobs/german-community-manager-remote-options-munich-de/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Video Games,AAA studio,Character Artist,On-Site,Madrid,Spain,Negotiable,18th August 2022,https://aswift.com/jobs/character-artist-madrid-es/,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
